tlp,group,reporttime,observable,cc,asn,confidence,tags,description,rdata,provider,altid_tlp,altid
green,everyone,2016-08-19T00:54:50Z,www.minguerrerosdeluz.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,dl.helianthemum.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,down.cdyb.net,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www34.bjmn100.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www.educationalresources.edu.in,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www.511kbb.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www.arnauylavalle.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www21.qqxxdy.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,dounloads.net,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,hetu852.pw,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,wii123.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,tattoo-design123.blogspot.com.es,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www.wellsfargo.com.brokerage-requiredlog.origincob-valid.present-secureconnect.lob.authconh65465gfytrfs9cqhjgfrw4awmdawtyddkcrhtee.cridgey.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www.b2bmarketintelligence.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www24.31qqww.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www42.rtyszz.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www38.mgscw.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www12.dvvoo.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,lanecreditorsguide.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www36.dvvoo.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www41.bolo100.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,cdn.moiprogrammy.net,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www.mymailuk.co.uk,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
